S No.,Gender,Category,Price,Brand ,Product,Reviews
114,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,An average cloth.Yeah!! It's an original item but colour got cloudy after 3rd wash ..
115,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Excellent T-shirt
116,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Good fiting
117,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Bad quality
118,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Fabulous
119,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Excellent
120,Male,T-shirt,1319,Levi's,Striped Men Polo Neck White T-Shirt,Nice cloth material 👌.. Comfortable to Wear.. Colour mind blowing..
121,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Nice T-shirts
122,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Excellent and best product 👍👍👍
123,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Nice/comfortable/Fit/value for money
124,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Wonderful ❣️
125,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Nice product
126,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Excellent
127,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,good quality
128,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Nice one 👍
129,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,value for money
130,Male,T-shirt,519,METRONAUT ,Printed Men Polo Neck Blue T-Shirt,Nice good quality
131,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Quality assured. Nice looking on me.
132,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Awesome 😍
133,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Good
134,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Nice Tshirt I am very happy and I am Fully satisfied for This Brand 🔥🔥❤️😍😍
135,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Good quality product and looking great.
136,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Good quality and looking great
137,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Looking wise good T-shirt ...Fabric is slightly different from pic...But in this price it's good deal...Over all beautiful tshirt
138,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Not bad
139,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,Good one
140,Male,T-shirt,545,METRONAUT ,Printed Men Polo Neck Dark Green T-Shirt,It's good tshirt and material is also good.. the color is slightly dark than the picture.. that's y i give 4 stars
141,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,Very nice
142,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,"Packing was very worst, but quality was good"
143,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,nice
144,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,Best n good quality ..Must buy it
145,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,Meterial is okay not bad but colour is osm
146,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,Awesome good fitting good fabric
147,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,Meterial waterdamaged
148,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,Veri nice product.. 💕
149,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,Worst product
150,Male,T-shirt,493,METRONAUT ,Printed Men Polo Neck Maroon T-Shirt,"Very nice fabric ,fully sstretchable , colour Z Black ,size very good"
151,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Very very good.satisfied
152,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,"When washed, the tshirt becomes dull and colorless......"
153,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,"Very dispointing deal,after one wash colour completely shading.return period over so,I used this t shirt for floor cleaning."
154,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Good
155,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Super quality
156,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Coolor colour fades after 1 wash itself
157,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Good prodoct
158,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Super quality T-shirt
159,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Bad quality
160,Male,T-shirt,509,METRONAUT ,Printed Men Polo Neck Dark Blue T-Shirt,Need Better quality and colour
161,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Without thinking go for it
162,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Very nice
163,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,awsome product
164,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Very poor product
165,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Awesome fabric quality
166,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Good! Value for money
167,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Fitting problem I faced..
168,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Worth to buy
169,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,Quality is not good
170,Male,T-shirt,1049,ADIDAS,Striped Men Round Neck Black T-Shirt,No doubt ...Go for it
171,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,Good service by flipcart
172,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,"Honestly at this price point its a terrific purchase , cloth quality is good and did not fade or loose color ."
173,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,Fiting is not that good
174,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,Awesome t shirt. Tysm Flipkart 🙌🏻😇💫
175,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,Neither fabric nor size is good
176,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,Product is good but The size is really larger.
177,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,Original product with cheap price
178,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,This is awesome.
179,Male,T-shirt,1049,ADIDAS,Solid Men Polo Neck Red T-Shirt,Very good product
180,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,❤ loved it Adidas ❤
181,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,The quality of the product is too good. Fabric is awesome
182,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,loved it.. go for it..
183,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,Cotton quality is also good
184,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,Best T-shirt ever ❤😍
185,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,Great product to buy
186,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,Tshirt was good but bit loss
187,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,"It's of good fabric and breathable, the length is also quite good."
188,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,The product is worse… in the first wash it’s fading colour 😤
189,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,Very bad quality 🖤
190,Male,T-shirt,1049,ADIDAS,Solid Men Round Neck White T-Shirt,Good one
191,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,Looks good but to be honest not value for money?. I feel so uncomfortable while sweating at gym
192,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,Good
193,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,The quality of the shirt is pretty best... I gave 3/3 stars for quality and price for money but the size they have given for XL is truly bad... I ordered XL t shirt but they gave such a bigger than XL that's why reduced 2 stars and give 0/2
194,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,Good quality
195,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,Fabric quality n fitting is perfect!
196,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,Very bad quality product
197,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,Totally useless product
198,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,"Very nice tshirt. Perfect fit, a few people might feel somewhat lose, but that's style and it looks cool on you."
199,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,"Good product ,bit price is a little high"
200,Male,T-shirt,1049,ADIDAS,Sports Men Round Neck Grey T-Shirt,Best
201,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Good product
202,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Quality was not as expected as compared to price
203,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Good for me
204,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Very poor quality product
205,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Bad product
206,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Good job
207,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Not good
208,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Nice very soft I like this
209,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Good products
210,Male,T-shirt,1034,REEBOK,Self Design Men Round Neck Grey T-Shirt,Great product
